 **1. HEAD-TO-HEAD**

| Race Date | Venue | Dist | Context | Result (Today's runners) | Margin / Notes |
|-----------|-------|------|---------|--------------------------|----------------|
| 2026-07-11 | Bangalore | 1200m | RATED 40-65 | **INVINCIBLE** (5th) beat **GODDESS OF WAR** (8th) and **JOONDALUP** (6th) | INV finished best of the trio after settling 8th at the 4f marker; GOW never threatened after settling 6th. Trip, class and going identical to today. |
| 2026-07-05 | Bangalore | 1200m | RATED 40-65 | **INVINCIBLE** (6th) beat **STEFFEN** (9th) | INV closed from 8th at the 4f to 6th; STEFFEN faded from 3rd at the 4f. |
| 2026-07-05 | Bangalore | 1200m | – | **INVINCIBLE** (6th) vs **THESSALIAN** (W) / **STEFFEN** (9th) vs **THESSALIAN** (W) | THESSALIAN withdrawn — run excluded entirely from form. |
| 2026-06-20 | Bangalore | 1400m | RATED 40-65 | **VALIANT STREAM** (5th) beat **GODDESS OF WAR** (9th) | VS sat 2nd early; GOW led at the 1.5f then weakened. VS had a slowly-away flag this day yet still outran GOW. |
| 2026-05-09 | Bangalore | 1300m | RATED 40-65 | **THESSALIAN** (4th) beat **INVINCIBLE** (7th) and **KISS OF GREY** (8th) | THESSALIAN best of the three on a trip 100m longer than today. |
| 2026-05-03 | Bangalore | 1200m | RATED 40-65 | **SMALL DREAMS** (6th) beat **INVINCIBLE** (11th) | Both were well beaten; SMALL DREAMS was far less tardy. |
| 2025-11-29 | Bangalore | 1100m | RATED 40-65 | **THESSALIAN** (2nd) beat **GODDESS OF WAR** (7th) | THESSALIAN 2nd at level weights; GOW never threatened after settling 6th. |
| 2025-11-01 | Bangalore | 1200m | MAIDEN | **ZEPHYRINE** (4th) beat **STEFFEN** (5th) | NZ beaten less than a length in a maiden; both have improved since. |
| 2025-10-09 | Mysore | 1400m | MAIDEN | **GODDESS OF WAR** (1st) beat **VALIANT STREAM** (7th) | GOW won by a wide margin on a different track; VS was a maiden. |

**Implication:** INVINCIBLE has the clearest recent H2H edge over GOW and JOONDALUP (11-Jul-1200). SMALL DREAMS has also finished ahead of INVINCIBLE at the trip. THESSALIAN held the measure of INVINCIBLE and KISS OF GREY at 1300m earlier in the season.

---

**2. RUNNING STYLES**

**Classifications**
- **Front-runners:** KISS OF GREY, STEFFEN
- **Stalkers / Pressers:** SMALL DREAMS, JOONDALUP, VALIANT STREAM, THESSALIAN
- **Mid-field Closers:** ZEPHYRINE, GODDESS OF WAR
- **Deep Closers:** INVINCIBLE, LASYA

**Likely Pace Scenario**
SMALL DREAMS (1), JOONDALUP (2) and KISS OF GREY (3) all possess gate speed and draw inside. KISS OF GREY prefers to lead, while SMALL DREAMS likes to sit 2nd/3rd. JOONDALUP can either lead or box-seat. STEFFEN (6) will have to burn energy from an outside gate to lead, inviting pressure. INVINCIBLE (9) and VALIANT STREAM (10) are drawn wide and will settle towards the rear. With at least three earnest speed horses inside and a front-runner in STEFFEN pushing across from mid-draw, the pace should be **genuine to strong**. No-whip conditions favour the tractable stalkers (SMALL DREAMS, JOONDALUP, ZEPHYRINE) over deep closers who need heavy urging to thread through late traffic (INVINCIBLE, LASYA).

**Key Runs (most recent first)**

*GODDESS OF WAR* — Mid-field closer / beneficiary of hard pace. Not a lead horse; SLOWLY AWAY on 20-Jun-2026 downgrades any front-running thought. Gate impact: Drawn 8 today versus 4 last time — farther back than ideal; likely to settle worse than midfield and encounter traffic.
- 09-Oct-2025 | 1400m | Pos:1 | Odds:4/10 | Draw:? | [TOTE FAV] MAIDEN
- 09-May-2026 | 1300m | Pos:8 | Odds:20 | Draw:6 | Settled sixth until the final bend before dropping back, ultimately fi
- 08-Mar-2025 | 1200m | Pos:6 | Odds:13/4 | Draw:? | [TOTE FAV] Settled eighth approaching the final bend before improving a few place
- 07-Jun-2025 | 1400m | Pos:2 | Odds:15 | Draw:? | Settled eighth until the final bend before making late headway to fini

*LASYA* — Deep closer. Last 1200m win came from 7th at the final bend; needs space to unleash. Gate impact: Drawn 5 today, identical to last run, so no additional negative. No-whip may blunt her if she needs urging inside the final 200m.
- 27-Jun-2026 | 1300m | Pos:3 | Odds:20 | Draw:3 | Settled third at the 1.2 furlongs before making late headway to finish
- 12-Jul-2026 | 1200m | Pos:1 | Odds:12 | Draw:5 | Settled seventh until the final bend before making late headway to fin

*SMALL DREAMS* — Stalker / presser. Likes to sit 2nd–3rd early and pounce. AWKWARD_JUMP at start in Nov-2025 is a one-off note, not a recurring theme. Gate impact: Drawn 1 today versus 4 last time; rails out 5.5m means the inside draw is a material advantage for a horse that wants to be handy. Major positive.
- 25-Sep-2025 | 1800m | Pos:4 | Odds:5 | Draw:? | Settled fourth throughout before making late headway to finish fourth,
- 05-Sep-2025 | 1600m | Pos:1 | Odds:12 | Draw:? | Settled third at the furlong before making late headway to finish firs
- 24-May-2026 | 1200m | Pos:3 | Odds:5/2 | Draw:7 | Settled second at 1.4 furlongs before making late headway to finish th
- 22-Jun-2025 | 1100m | Pos:5 | Odds:11/2 | Draw:? | Settled sixth until the final bend before making late headway to finis
- 20-Jul-2025 | 1400m | Pos:4 | Odds:17/4 | Draw:? | (no description)
- 15-Nov-2025 | 1200m | Pos:2 | Odds:17/4 | Draw:4 | Settled second from the start before making late headway to finish two
- 14-Jun-2026 | 1400m | Pos:3 | Odds:4 | Draw:4 | Made late headway from sixth at the turn to finish third, beaten by si
- 11-Jul-2026 | 1400m | Pos:5 | Odds:8 | Draw:4 | Settled sixth at four furlongs before making late headway to finish fi
- 07-Jun-2025 | 1200m | Pos:4 | Odds:15 | Draw:? | Finished fourth, made late headway to finish six lengths behind the le
- 03-May-2026 | 1200m | Pos:6 | Odds:20 | Draw:1 | Settled tenth approaching the final bend before making late headway to
- 01-Nov-2025 | 1400m | Pos:3 | Odds:20 | Draw:3 | Settled third at two furlongs before making late headway to finish thi
- 01-Aug-2025 | 1200m | Pos:1 | Odds:5/2 | Draw:? | Settled third at the start before flashing on to the scene at the post

*STEFFEN* — Front-runner. Pillar-to-post 1200m win was in Class 00-25; now tackling 40-65 from gate 6. Gate impact: Drawn 6 today versus 8 last time (1200m fade to 9th). Still outside for a horse that wants the front; likely to overexert crossing. Downgrade.
- 31-May-2026 | 1200m | Pos:1 | Odds:2 | Draw:1 | [TOTE FAV] Won pillar to post in a dominant display, finishing 1.25 lengths clear
- 31-Jan-2025 | 1100m | Pos:6 | Odds:25 | Draw:? | Settled fourth until the final bend before dropping back, ultimately f
- 21-Jun-2026 | 1100m | Pos:1 | Odds:8 | Draw:1 | Won from a barrier to finish fourth, 2.0 lengths behind.
- 05-Jul-2026 | 1200m | Pos:9 | Odds:20 | Draw:8 | Settled third at four furlongs, made late headway to finish fourth, be
- 03-May-2026 | 1400m | Pos:2 | Odds:20 | Draw:8 | Settled third at two furlongs before making late headway to finish sec
- 01-Nov-2025 | 1200m | Pos:5 | Odds:15 | Draw:9 | Led at 1.7 furlongs before making late headway to finish third, droppe

*THESSALIAN* — Mid-field closer. Pattern is 4th–6th early then rallies. Gate impact: Drawn 4 today versus 9 last time — improved, should be able to lodge midfield without burning too much energy. Neutral to positive.
- 10-Oct-2025 | 1200m | Pos:1 | Odds:7 | Draw:? | (no description)
- 01-Mar-2025 | 1400m | Pos:1 | Odds:3 | Draw:? | (no description)
- 31-Jan-2025 | 1100m | Pos:3 | Odds:20 | Draw:? | Settled sixth until the final bend before making late headway to finis
- 30-May-2026 | 1200m | Pos:5 | Odds:20 | Draw:9 | Finished fifth, beaten by five lengths after making late headway from
- 29-Nov-2025 | 1100m | Pos:2 | Odds:10 | Draw:3 | Settled fourth approaching the final bend before making late headway t
- 25-May-2025 | 1200m | Pos:5 | Odds:Even | Draw:? | Settled fourth until half-furlong before made late headway to finish f
- 14-Jun-2025 | 1200m | Pos:6 | Odds:15 | Draw:? | Settled sixth throughout before making late headway to finish sixth, b
- 09-Nov-2025 | 1200m | Pos:4 | Odds:12 | Draw:2 | Settled sixth until the final bend before making late headway to finis
- 09-May-2026 | 1300m | Pos:4 | Odds:20 | Draw:4 | Settled fourth at the furlong before making late headway to finish thi
- 05-Jul-2026 | 1200m | Pos:W | Odds:? | Draw:? | (WITHDRAWN — exclude from form)
- 01-Aug-2025 | 1200m | Pos:7 | Odds:5 | Draw:? | Settled eleventh at four furlongs before improving gradually, made lat

*VALIANT STREAM* — Stalker. SLOWLY AWAY on 20-Jun and a wide draw today suggest he will not land handy. Gate impact: Drawn 10 today versus 4 last time, 7 and 3 prior. Severe negative at Bangalore 1200m with rails out 5.5m; likely to be 3-wide around the bend and give cheap lengths to the inside speed.
- 09-Oct-2025 | 1400m | Pos:7 | Odds:10 | Draw:? | (no description)
- 31-May-2026 | 1300m | Pos:1 | Odds:Even | Draw:3 | [TOTE FAV] Settled second at 1.5 furlongs before making late headway to finish fi
- 20-Jun-2026 | 1400m | Pos:5 | Odds:9/2 | Draw:4 | Settled second at one and a half furlongs before making late headway t
- 12-Jul-2026 | 1400m | Pos:3 | Odds:20 | Draw:7 | Settled third at 1.5 furlongs before making late headway to finish thi
- 10-May-2026 | 1400m | Pos:3 | Odds:60/100 | Draw:8 | [TOTE FAV] Settled third until the final bend before making late headway to finis
- 09-Nov-2025 | 1400m | Pos:1 | Odds:7 | Draw:2 | Settled well in fourth approaching the final bend before making late h

*ZEPHYRINE* — Mid-field closer. Recurrent pattern: 5th-6th early, surges late. Gate impact: Drawn 7 today versus 1 in last two starts and 5 previously. Slightly wider than ideal but not fatal; she has won from gate 6 before (01-May-2026). Can concede a few lengths early and still close.
- 27-Jul-2025 | 1200m | Pos:4 | Odds:15 | Draw:? | Settled fifth approaching the final bend before making late headway to
- 24-May-2026 | 1200m | Pos:1 | Odds:15/4 | Draw:1 | [TOTE FAV] Settled fifth at the initial furlong before making a late surge to gal
- 24-May-2025 | 1200m | Pos:2 | Odds:15 | Draw:? | (no description)
- 21-Jun-2025 | 1400m | Pos:7 | Odds:12 | Draw:? | Settled seventh at four furlongs before making late headway, ultimatel
- 18-Jul-2026 | 1200m | Pos:6 | Odds:20 | Draw:1 | (no description)
- 07-Jun-2026 | 1400m | Pos:8 | Odds:20 | Draw:3 | Settled sixth at four furlongs before making late headway to finish ei
- 07-Feb-2025 | 1200m | Pos:3 | Odds:5/2 | Draw:? | Settled second at 1.7 furlongs before making late headway to finish th
- 06-Jul-2025 | 1200m | Pos:4 | Odds:20 | Draw:? | Finished fourth at the final bend after making late headway from fifth
- 01-Nov-2025 | 1200m | Pos:4 | Odds:5 | Draw:5 | Settled sixth until the final bend before making late headway to finis
- 01-May-2026 | 1200m | Pos:1 | Odds:50/100 | Draw:6 | [TOTE FAV] Finished third until the final bend before making late headway to fini

---

**3. DISTANCE FORM (1100m–1300m band)**

| Horse | Runs 1100–1300m | Best Result | Recent 1200m Trend |
|-------|-----------------|-------------|--------------------|
| **GODDESS OF WAR** | 3 runs: 1100m 7th, 1200m WIN, 1200m 8th | Won 15-Nov-1200 (20-45) | Trending down in 40-65 class |
| **INVINCIBLE** | 10+ runs: 1100m WIN, 5x 1200m (2 wins in low class, recent 5th/6th/11th), 1300m 12th/7th | Won 14-Mar-1200 (40-65), 25-Jan-1200 (20-45) | Inconsistent in 40-65 at trip; 5th last time is best recent |
| **JOONDALUP** | 8 runs: 1100m 10th, 6x 1200m (2 wins incl Group, 2nd, 4th, 5th, 6th) | Won 12-Oct-1200 (39-50) / 13-Jan-1200 (Group) | Last two 1200m runs 5th and 6th — drying form |
| **KISS OF GREY** | 2 runs: 1200m 6th (Open), 1300m 8th | Only 6th at trip | Unproven at 1200m; miler |
| **LASYA** | 1 run: 1200m WIN; 1 run: 1300m 3rd | Undefeated at 1200m | Sharp but from 20-45 to 40-65 class rise unknown |
| **SMALL DREAMS** | 7 runs: 1100m 5th, 5x 1200m (1 win, 2nd, 3rd, 4th, 6th), 1300m none shown | Won 01-Aug-1200 (20-45), 3rd 24-May-1200 | Solid at trip; last 1200m was a place |
| **STEFFEN** | 4 runs: 1100m (1 win, 1 unplaced), 1200m (1 win in 00-25, 1 9th in 40-65) | Won 31-May-1200 | Class and wide gate make 1200m record here suspect |
| **THESSALIAN** | 8 runs: 1100m (2nd, 3rd), 6x 1200m (1 win, three 4th/5th, one 6th, one 7th) | Won 10-Oct-1200 | Honest but not dominant at trip in current company |
| **VALIANT STREAM** | 0 runs at 1200m; 1 run at 1300m (WIN) | 1300m WIN | Unproven at 1200m; all form at 1300m+ |
| **ZEPHYRINE** | 8 runs at 1200m (2 wins, 3rd, three 4ths, one 6th); 1400m weaker | Won 24-May-1200 & 01-May-1200 | Strongest 1200m form credentials in the field |

**Unproven / Risk:** VALIANT STREAM (1200m debut in effect), KISS OF GREY (mile/trip mismatch), LASYA (only two starts ever, class rise).  
**Trending up at trip:** ZEPHYRINE, LASYA (won last).  
**Flatlining / down:** JOONDALUP, GODDESS OF WAR.

---

**4. SECTIONALS — who can quicken late?**

*Only GODDESS OF WAR and INVINCIBLE have sectional data in the supplied context.*

**GODDESS OF WAR**
- 2026-07-11 (1200m, finished 8th): last 400m **23.89s**, last 200m **11.93s** — sub-24.0 final 400m, but horse was buried midfield and only beat two home. Fast closing split in defeat indicates he can run on, yet perennially fails to get into a threatening position early enough.
- 2026-06-20 (1400m, finished 9th): last 400m **23.91s** — again fast in absolute terms but finished 9th after leading early; essentially ineffective.
- 2025-11-15 (1200m, won): last 400m **24.10s** — controlled race just off the speed, sectional less flashy but race-effective.

**INVINCIBLE**
- 2026-07-05 (1200m, finished 6th): last 400m **22.29s**, last 200m **10.11s** — elite closing sprinter’s time. Came from 8th at the 4f to 6th, narrowly missing places. If he ever lands a stalking trip instead of being buried 8th–10th early, this is the fastest closing split in the field by a margin.
- 2026-07-11 (1200m, finished 5th): last 400m **23.89s** — solid again.
- 2025-11-22 (1200m, 4th): last 400m **23.35s**.
- 2025-11-01 (1200m, 6th): last 400m **23.08s**.
- 2025-03-14 (1200m, won): last 400m **23.86s** — closed fast from 4th at the turn to win.

**Verdict:** INVINCIBLE owns the only **sub-23.0 last-400m** split in the data (22.29s). He is the single genuine late threat **if** the pace is strong and he is not completely buried on the wide turn. GODDESS OF WAR also breaks 24.0s, but does so in defeats and from too far back; his sectional speed has not translated into winning positions in this class.

---

**4B. COMPETITION FORM VALIDATION**

- **VALIANT STREAM:** Close losses to SICYON (subsequently 2nd in 40-65) and BLIND FAITH (subsequently placed) validate his ratings form. His maiden rivals SALT N PEPPER and DEVATE did little subsequently, so that early form is discounted. Overall, his 1400m form is against genuine horses.
- **JOONDALUP:** Wins over CINDERELLA’S DREAM and MAJESTIC WARRIOR are validated — both have placed since in 40-66 / 20-46. Losses to STORM CLOUD are discounted because STORM CLOUD has since finished 11th. Form is legitimate but rivals were not top-liners.
- **INVINCIBLE:** Losses to HEROISM and close proximity to D GOLD STAR / SPECTACULAR (subsequently competitive in 60+) validate his 1400m form in higher company is sound. However, loss to EXUBERANCE is discounted (rival regressed to 8th in 40-65). At shorter trips his 1200m rivals are less validated, though his raw sectionals speak louder than the opposition.
- **SMALL DREAMS:** Close win over WINFIELD is strongly validated — WINFIELD has since run two 2nds in 40-65 staying trips. Close loss to FORTIS is validated (FORTIS has since placed at 1200m). SMALL DREAMS’ form stands up.
- **THESSALIAN:** Maiden win over MOON STAR and AQUAMATIC is validated: AQUAMATIC subsequently won a 40-65 event, MOON STAR placed at 1800m. Win over CYNOSURE less so (rival has since faded). The core of THESSALIAN’s form is sound.
- **ZEPHYRINE:** Excellent validation. Loss to SOLARA is validated — SOLARA has since won and placed twice. Loss to VEGATHA validated — VEGATHA subsequently won a 60-85 race. Beat BLIND FAITH (subsequently placed). Her 1200m rivals have franked the form well.
- **STEFFEN:** Rivals from his 00-25 wins (DASADYU, CARTER) have done little since; BLIND FAITH placed, HONEYPOT won since at 00-25. The level of recent competition validation is weak for this class hike.
- **GODDESS OF WAR:** Maiden rivals VIBRANT QUEEN and SILVER QUEST have since won multiple times in 20-45/40-65, validating her early ability. However, in current 40-65 company she has not reproduced that level.
- **LASYA:** Very strong validation. Beat ROCKING STAR (subsequently 2nd) and lost narrowly to POWER OF THE SEA (subsequently won) and SHINING WAYS (subsequently Group-placed). Her 1200m win was over a subsequently winner in the same race. Form is sharp despite short career.
- **KISS OF GREY:** Rivals from Group 1600m run are unvalidated or mixed; no strong positive or negative signal from competition form.

---

**5. BODY WEIGHT TRENDS**

Today’s body weights: **NOT YET PUBLISHED** — no trend analysis versus today’s declared weights is possible.

Last known historical BWs (for reference):
- **VALIANT STREAM:** 492 kg (May/Jun) → 487 kg (Jul). Slight drop; generally high.
- **JOONDALUP:** 411 kg (Jul) — stable in 408–414 kg band all season. No alarm.
- **INVINCIBLE:** 468 kg (May) → 462 kg (Jul). Gradual decline; still in normal range.
- **SMALL DREAMS:** 419–426 kg across season; recent 422 kg. Consistent.
- **THESSALIAN:** 411 kg (Nov) → 428 kg (Jun). Upward trend; filling out or building condition.
- **ZEPHYRINE:** 423 kg (Jul) — stable around 417–423 kg.
- **STEFFEN:** 406–408 kg — light frame, no spike.
- **GODDESS OF WAR:** 455 kg (Jul) — mid-range, no dramatic shift.
- **KISS OF GREY:** 438 kg (2025) → 426 kg (Jun). Downward drift; worth monitoring on the card.
- **LASYA:** Only recorded 434 kg (Jul) — no historical baseline.

---

**6. GOING PREFERENCES**

Penetrometer readings from performance graph:

- **Firm / Good-to-Firm specialists (Penetro <3.5):** GODDESS OF WAR, LASYA, VALIANT STREAM, JOONDALUP, STEFFEN, THESSALIAN.
- **Good range (3.5–4.4):** INVINCIBLE, ZEPHYRINE, SMALL DREAMS, THESSALIAN, JOONDALUP.
- **Good-to-Soft (4.5–5.4):** INVINCIBLE, SMALL DREAMS, STEFFEN, KISS OF GREY, THESSALIAN — all have raced on it, with KISS OF GREY and STEFFEN recording wins on GTS.

No horse in the field shows an obvious aversion to prevailing Bangalore Good/Firm, but **KISS OF GREY** and **STEFFEN** have proven they can handle cut if the penetrometer drifts toward soft after rain. **LASYA** and **GODDESS OF WAR** have only faced firm; any significant rain would be an unknown for them.

---

**7. STRUCTURED RACE INCIDENTS**

**A) PACE-RELEVANT INCIDENTS (detail)**
